TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC CX 031.1/11N/FHC7E.UANN;GACC CX;031.1/11N/FHC7E.UANN;n/a;finoox;247-1BBH.1TZ.3UX.00NN-C26.00.0800.100;GACC CX 031.1F/17-EN1_.E_PC;2212;E;1;1;2107;Axial;2,524;2,044;8,56;1646;1350;8;VT03189;0,087;0,7;B;40,72;62,01;1,6;230V-1~-1.44kW;;;gacc1;752;430;455;460;332;18,1;9,52;9,52;n/a;Inclusive;143;Inclusive;Yes;Yes;No;315;EC motor;5060;1;H04BB06500470230;H01CB06400500230;;BG351035-00002.1;2;100;650;1;200;640;no;no;F;E;Powder coated;7;48;6;yes;piece;1
GACC CX 031.1/11N/FHC7E.UNNN;GACC CX;031.1/11N/FHC7E.UNNN;n/a;finoox;247-1BBH.1TZ.3UX.00NN-C26.00.0800.000;GACC CX 031.1F/17-EN1_.E_PC;2061;E;1;1;2107;Axial;2,524;2,044;8,56;1646;1350;8;VT03189;0,087;0,7;B;40,72;62,01;1,6;230V-1~-1.44kW;;;gacc1;752;430;455;460;332;18,1;9,52;9,52;n/a;Inclusive;143;151;No;Yes;No;315;EC motor;5060;1;H04BB06500470230;H01CB06400500230;;BG351035-00002.1;2;100;650;1;200;640;no;no;F;E;Powder coated;7;48;6;yes;piece;1
GACC CX 031.1/11N/HHC7A.UANN;GACC CX;031.1/11N/HHC7A.UANN;n/a;finoox;247-1BBU.1TZ.3V2.00NN-C26.00.0000.100;GACC CX 031.1H/17-AN1_.E_PC;2202;A;1;1;2107;Axial;2,944;2,382;11,41;1531;1350;8;VT03189;0,086;0,7;B;40,72;62,01;2,1;;230V-1~-1.44kW;BG351035-00025;gacc1;752;430;455;460;332;19,2;9,52;9,52;n/a;Inclusive;143;Inclusive;Yes;No;No;315;EC motor;5060;1;;;183;;;;;;;;no;no;H;E;Powder coated;7;64;8;yes;piece;1
GACC CX 031.1/11N/HHC7A.UNNN;GACC CX;031.1/11N/HHC7A.UNNN;n/a;finoox;247-1BBU.1TZ.3V2.00NN-C26.00.0000.000;GACC CX 031.1H/17-AN1_.E_PC;2051;A;1;1;2107;Axial;2,944;2,382;11,41;1531;1350;8;VT03189;0,086;0,7;B;40,72;62,01;2,1;;230V-1~-1.44kW;BG351035-00025;gacc1;752;430;455;460;332;19,2;9,52;9,52;n/a;Inclusive;143;151;No;No;No;315;EC motor;5060;1;;;183;;;;;;;;no;no;H;E;Powder coated;7;64;8;yes;piece;1
GACC CX 031.2/21N/HHC7A.TNNN;GACC CX;031.2/21N/HHC7A.TNNN;n/a;finoox;247-2LXR.1TZ.3V3.S5SR-C26.01.0000.000;GACC CX 031.2H/27-AN1_.E_PC;3146;A;2;1;2107;Axial;5,913;4,791;22,83;3062;1350;9;VT03189;0,173;0,7;B;43,54;65,02;4,1;;230V-1~-2.57kW;BG351035-00026;gacc2;1212;430;455;920;332;33,4;16;22,23;n/a;Inclusive;Inclusive;302;No;No;Yes;315;EC motor;5060;1;;;204;;;;;;;;no;no;H;E;Powder coated;7;32;8;yes;piece;1
GACC CX 031.2/31N/HHC7A.UANN;GACC CX;031.2/31N/HHC7A.UANN;n/a;finoox;247-2LZH.1TZ.3V3.SGPW-C26.00.0000.100;GACC CX 031.2H/37-AN1_.E_PC;4951;A;3;1;2107;Axial;8,562;6,871;34,24;4593;1350;9;VT03189;0,259;0,7;B;45,11;66,78;5,9;;400V-3~N-3.7kW;BG351035-00027;gacc3;1672;430;455;1380;332;47,1;16;22,23;n/a;Inclusive;284;Inclusive;Yes;No;No;315;EC motor;5060;1;;;231;;;;;;;;no;no;H;E;Powder coated;7;32;8;yes;piece;1
GACC CX 031.2/31N/HHC7A.TNNN;GACC CX;031.2/31N/HHC7A.TNNN;n/a;finoox;247-2LZH.1TZ.3V3.SGPW-C26.01.0000.000;GACC CX 031.2H/37-AN1_.E_PC;4782;A;3;1;2107;Axial;8,562;6,871;34,24;4593;1350;9;VT03189;0,259;0,7;B;45,11;66,78;5,9;;400V-3~N-3.7kW;BG351035-00027;gacc3;1672;430;455;1380;332;47,1;16;22,23;n/a;Inclusive;Inclusive;453;No;No;Yes;315;EC motor;5060;1;;;231;;;;;;;;no;no;H;E;Powder coated;7;32;8;yes;piece;1
GACC CX 031.2/21N/HHC7E.UNNN;GACC CX;031.2/21N/HHC7E.UNNN;n/a;finoox;247-2LXT.1TZ.3V3.S5SR-C26.00.0800.000;GACC CX 031.2H/27-EN1_.E_PC;3205;E;2;1;2107;Axial;5,913;4,791;22,83;3062;1350;9;VT03189;0,173;0,7;B;43,54;65,02;4,1;230V-1~-2.57kW;;;gacc2;1212;430;455;920;332;35,5;16;22,23;n/a;Inclusive;204;302;No;Yes;No;315;EC motor;5060;1;H04BB11000860230;H01CB11000850230;;BG351035-00026.1;2;100;1100;1;200;1100;no;no;H;E;Powder coated;7;32;8;yes;piece;1
GACC CX 031.1/21N/CHC4A.UNNN;GACC CX;031.1/21N/CHC4A.UNNN;n/a;finoox;247-1BD8.1TZ.3US.00NN-C26.00.0000.000;GACC CX 031.1C/24-AN1_.E_PC;2722;A;2;1;2107;Axial;4,056;3,22;14,48;3303;1350;9;VT03189;0,173;0,7;D;43,54;65,02;1,5;;230V-1~-1.71kW;BG351035-00006;gacc2;1212;430;455;920;332;22;9,52;9,52;n/a;Inclusive;204;302;No;No;No;315;EC motor;5060;1;;;172;;;;;;;;no;no;C;E;Powder coated;4;24;3;yes;piece;1
GACC CX 031.1/11N/CHC4E.UANN;GACC CX;031.1/11N/CHC4E.UANN;n/a;finoox;247-1BA3.1TZ.3US.00NN-C26.00.0800.100;GACC CX 031.1C/14-EN1_.E_PC;1946;E;1;1;2107;Axial;1,952;1,581;7,24;1652;1350;8;VT03189;0,087;0,7;D;40,72;62,01;0,8;230V-1~-0.97kW;;;gacc1;752;430;455;460;332;14,3;9,52;9,52;n/a;Inclusive;143;Inclusive;Yes;Yes;No;315;EC motor;5060;1;H04BB06500470230;H01CB06400500230;;BG351035-00001.1;1;100;650;1;200;640;no;no;C;E;Powder coated;4;24;3;yes;piece;1
