TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC CX 031.1/1XN/FFC4A.TNNN;GASC CX;031.1/1XN/FFC4A.TNNN;n/a;finoox;251-1B1Q.245.3UM.00NN-C26.01.0000.000;GASC CX 031.1D/14-ANX_.E_PC;1673;A;1;1;2453;Axial;3,127;2,521;16,05;1509;1390;10;VT03159U;0,136;0,55;D;43,17;64,51;1,7;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;18,2;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;171;;;;;;;;no;no;F;E;Powder coated;4;36;6;yes;piece;1
GASC CX 031.2/21N/DFC7A.TNNN;GASC CX;031.2/21N/DFC7A.TNNN;n/a;finoox;251-2LU1.24G.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/27-AN1_.E_PC;2695;A;2;1;2464;Axial;4,046;3,24;12,65;3514;1350;17;VT03190;0,173;0,7;C;44,18;65,8;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;26,1;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;315;EC motor;5060;1;;;203;;;;;;;;no;no;D;E;Powder coated;7;24;4;yes;piece;1
GASC CX 020.1/11M/FDC4E.TNNN;GASC CX;020.1/11M/FDC4E.TNNN;n/a;finoox;251-1AZM.0YF.3UJ.00NN-C26.01.0800.000;GASC CX 020.1B/14-EL1_.E_PC;1294;E;1;1;1103;Axial;0,867;0,739;6,29;377;1500;4;VT03033U;0,02;0,16;B;41,03;62,17;0,7;230V 1~ - 0.59kW;;;GASC1;684;580;234;400;552;10,9;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA05750350230;H02LA06100240230;;AY7.001473.1;1;100;575;1;75;610;no;no;F;E;Powder coated;4;24;6;yes;piece;1
GASC CX 031.1/1WM/DFA4E.TNNN;GASC CX;031.1/1WM/DFA4E.TNNN;n/a;finoox;251-1B0T.247.3UN.00NN-C26.01.0800.000;GASC CX 031.1C/14-ELW_.E;1461;E;1;1;2455;Axial;2,177;1,776;10,7;1055;900;7;VT03159U;0,089;0,38;D;38,42;59,76;1,1;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;17,4;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GASC CX 020.1/11M/FDE7A.TNNN;GASC CX;020.1/11M/FDE7A.TNNN;n/a;finoox;251-1AZQ.0YF.3UJ.00NN-C26.01.0000.000;GASC CX 020.1B/17-AL1_.E_Epoxy;1087;A;1;1;1103;Axial;0,808;0,694;3,72;422;1500;5;VT03033U;0,02;0,16;A;40,43;61,56;0,7;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;9,5;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GASC CX 031.2/2WM/DFA4A.TNNN;GASC CX;031.2/2WM/DFA4A.TNNN;n/a;finoox;251-2LTK.247.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-ALW_.E;2101;A;2;1;2455;Axial;4,453;3,568;21,4;2110;900;10;VT03159U;0,178;0,38;D;41,15;62,77;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;27,5;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;203;;;;;;;;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GASC CX 031.2/21M/DFA4A.TNNN;GASC CX;031.2/21M/DFA4A.TNNN;n/a;finoox;251-2LTK.24H.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-AL1_.E;2332;A;2;1;2465;Axial;4,73;3,78;21,4;2333;1000;11;VT03190;0,073;0,3;A;36,76;58,38;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;26,3;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;203;;;;;;;;no;no;D;E;Aluminum;4;24;4;yes;piece;1
GASC CX 031.2/31M/FFE4E.TNNN;GASC CX;031.2/31M/FFE4E.TNNN;n/a;finoox;251-2LVD.24H.3UL.S5PT-C26.01.0800.000;GASC CX 031.2D/34-EL1_.E_Epoxy;4394;E;3;1;2465;Axial;8,063;6,526;48,15;3167;1000;12;VT03190;0,109;0,3;A;38,55;60,43;4,9;400V 3~N - 4.05kW;;;GASC3;2324;580;337;2040;552;50,3;16;22,23;Inclusive;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BB22301600230;H02LA22800850230;;AY7.001479.1;2;100;2230;1;75;2280;no;no;F;E;Epoxy coated aluminum;4;18;6;yes;piece;1
GASC CX 031.2/21M/FFC7A.TNNN;GASC CX;031.2/21M/FFC7A.TNNN;n/a;finoox;251-2LUD.24H.3UM.00NN-C26.01.0000.000;GASC CX 031.2D/27-AL1_.E_PC;3069;A;2;1;2465;Axial;4,295;3,441;18,98;2485;1000;12;VT03190;0,072;0,3;A+;36,63;58,26;3,2;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;31,1;9,52;9,52;n/a;Inclusive;Inclusive;No;Yes;315;EC motor;5060;1;;;235;;;;;;;;no;no;F;E;Powder coated;7;36;6;yes;piece;1
GASC CX 031.2/31M/DFC4E.TNNN;GASC CX;031.2/31M/DFC4E.TNNN;n/a;finoox;251-2LUX.24H.3UC.SGPU-C26.01.0800.000;GASC CX 031.2C/34-EL1_.E_PC;4294;E;3;1;2465;Axial;6,384;5,122;32,1;3499;1000;14;VT03190;0,109;0,3;A;38,26;60,14;3,3;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;41,6;16;22,23;n/a;Inclusive;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Powder coated;4;12;4;yes;piece;1
