TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC RX 040.1/1WN/HJE7A.TANN;GACC RX;040.1/1WN/HJE7A.TANN;n/a;finoox;247-1BCQ.1H0.3VM.RZTF-R23.01.0000.100;GACC RX 040.1H/17-ANW_.E_Epoxy;2552;A;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;;230V-1~-2.86kW;BG351035-00005;gacc1;1006;560;565;680;406;33,8;16;28;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;260;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/1WN/HJE7E.UANN;GACC RX;040.1/1WN/HJE7E.UANN;n/a;finoox;247-1BCR.1H0.3VM.RZTF-R23.00.0800.100;GACC RX 040.1H/17-ENW_.E_Epoxy;2796;E;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;36,7;16;28;Inclusive;n/a;138;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/1WN/FJE7A.TANN;GACC RX;040.1/1WN/FJE7A.TANN;n/a;finoox;247-1BCC.1H0.3VC.S5NK-R23.01.0000.100;GACC RX 040.1F/17-ANW_.E_Epoxy;2366;A;1;1;1734;Axial;4,609;3,488;4,604;3,777;4,636;3,647;4,461;3,629;4,284;3,465;4,519;3,528;14,68;3215;1310;12;VT0605;0,201;0,85;C;51,5;73,04;5,3;;230V-1~-2.32kW;BG351035-00004;gacc1;1006;560;565;680;406;30;16;28;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;232;;;;;;;;no;no;F;F;Epoxy coated aluminum;7;12;6;yes;piece;1
GACC RX 040.1/1WN/FJE7A.UANN;GACC RX;040.1/1WN/FJE7A.UANN;n/a;finoox;247-1BCC.1H0.3VC.S5NK-R23.00.0000.100;GACC RX 040.1F/17-ANW_.E_Epoxy;2228;A;1;1;1734;Axial;4,609;3,488;4,604;3,777;4,636;3,647;4,461;3,629;4,284;3,465;4,519;3,528;14,68;3215;1310;12;VT0605;0,201;0,85;C;51,5;73,04;5,3;;230V-1~-2.32kW;BG351035-00004;gacc1;1006;560;565;680;406;30;16;28;Inclusive;n/a;138;Inclusive;Yes;No;No;400;AC motor;50;W;;;232;;;;;;;;no;no;F;F;Epoxy coated aluminum;7;12;6;yes;piece;1
GACC RX 040.1/2WN/FJE7E.UANN;GACC RX;040.1/2WN/FJE7E.UANN;n/a;finoox;247-1BFT.1H0.3VD.S5NY-R23.00.0800.100;GACC RX 040.1F/27-ENW_.E_Epoxy;3765;E;2;1;1734;Axial;8,811;6,361;9,221;7,289;9,344;7,11;8,912;7;8,624;6,696;8,647;6,317;29,37;6429;1310;13;VT0605;0,403;0,85;C;54,23;76,05;9,8;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;55,3;16;28;Inclusive;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;F;Epoxy coated aluminum;7;10;6;yes;piece;1
GACC RX 040.1/4WN/HJE7A.UANN;GACC RX;040.1/4WN/HJE7A.UANN;n/a;finoox;247-1BKE.1H0.3VU.SJ9D-R23.00.0000.100;GACC RX 040.1H/47-ANW_.E_Epoxy;6922;A;4;1;1734;Axial;22,218;16,808;22,36;18,222;22,987;17,802;21,613;17,523;20,819;16,705;21,651;16,863;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;;400V-3~N-11.4kW;BG351035-00020;gacc4a;3046;560;565;680;406;109,3;22;42;Inclusive;n/a;380;Inclusive;Yes;No;No;400;AC motor;50;W;;;525;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
GACC RX 040.1/4WN/HJE7E.UANN;GACC RX;040.1/4WN/HJE7E.UANN;n/a;finoox;247-1BKF.1H0.3VU.SJ9D-R23.00.0800.100;GACC RX 040.1H/47-ENW_.E_Epoxy;7490;E;4;1;1734;Axial;22,218;16,808;22,36;18,222;22,987;17,802;21,613;17,523;20,819;16,705;21,651;16,863;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;400V-3~N-11.4kW;;;gacc4a;3046;560;565;680;406;117,8;22;42;Inclusive;n/a;380;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00020.1;4;100;2900;1;200;2920;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
GACC RX 040.1/3WN/FJE7A.TANN;GACC RX;040.1/3WN/FJE7A.TANN;n/a;finoox;247-1BJ8.1H0.3VE.SJ5H-R23.01.0000.100;GACC RX 040.1F/37-ANW_.E_Epoxy;4935;A;3;1;1734;Axial;13,43;9,806;13,83;11,062;14,106;10,855;13,356;10,615;12,883;10,133;13,16;9,899;44,05;9644;1310;15;VT0605;0,604;0,85;C;55,73;77,81;14,6;;400V-3~N-6.5kW;BG351035-00017;gacc3a;2366;560;565;680;406;72,5;22;35;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;337;;;;;;;;no;no;F;F;Epoxy coated aluminum;7;6;6;yes;piece;1
GACC RX 040.1/3WN/FJE7E.UANN;GACC RX;040.1/3WN/FJE7E.UANN;n/a;finoox;247-1BJ9.1H0.3VE.SJ5H-R23.00.0800.100;GACC RX 040.1F/37-ENW_.E_Epoxy;5079;E;3;1;1734;Axial;13,43;9,806;13,83;11,062;14,106;10,855;13,356;10,615;12,883;10,133;13,16;9,899;44,05;9644;1310;15;VT0605;0,604;0,85;C;55,73;77,81;14,6;400V-3~N-6.5kW;;;gacc3a;2366;560;565;680;406;77,6;22;35;Inclusive;n/a;279;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB22301600230;H01CB22401700230;;BG351035-00017.1;3;100;2230;1;200;2240;no;no;F;F;Epoxy coated aluminum;7;6;6;yes;piece;1
GACC RX 040.1/2WN/HJE7A.TANN;GACC RX;040.1/2WN/HJE7A.TANN;n/a;finoox;247-1BGG.1H0.3VS.SJ5R-R23.01.0000.100;GACC RX 040.1H/27-ANW_.E_Epoxy;3809;A;2;1;1734;Axial;11,09;8,368;11,172;9,095;11,485;8,885;10,798;8,747;10,393;8,338;10,806;8,393;39,16;6125;1310;13;VT0605;0,41;0,85;C;54,23;76,05;13,2;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;59,3;22;35;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;321;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;8;8;yes;piece;1
