TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE CONDENSATE PUMP;HEATING;JUNCTION_BOX;CONDENSATE_PUMP;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GADC CX 035.2/3WE/DEE4E.TNNN;GADC CX;035.2/3WE/DEE4E.TNNN;n/a;finoox;203-1AM9.2PY.1HA.RJTC-C26.01.0800.000;GADC CX 035.2-04_3-04-E0W-CL-E80AR-3126_Epoxy;6241;E;3;1;3126;Axial;8,023;6,466;53,5;3663;585;8;VT03208;0,143;0,22;A;40,18;62,28;5,3;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;97,7;16;16;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;L;E;Epoxy coated aluminum;4;20;4;yes;piece;1
GADC CX 035.2/3WE/FEE7E.TNNN;GADC CX;035.2/3WE/FEE7E.TNNN;n/a;finoox;203-1AMV.2PY.1HD.RL2P-C26.01.0800.000;GADC CX 035.2-06_3-07-E0W-CL-E80AR-3126_Epoxy;7645;E;3;1;3126;Axial;7,712;6,323;47,46;3815;585;8;VT03208;0,142;0,22;A;40,18;62,28;8,2;400V 3~N+PE - 7,7kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;112,1;16;22,23;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002374;6;0;2288;2;150;2290;no;no;L;E;Epoxy coated aluminum;7;14;6;yes;piece;1
GADC CX 035.2/1WE/HEE7A.TNPN;GADC CX;035.2/1WE/HEE7A.TNPN;n/a;finoox;203-1AHN.2PY.1JS.00NN-C26.01.0000.010;GADC CX 035.2-08_1-07-A0W-CL-E80AR-3126_Epoxy;3390;A;1;1;3126;Axial;2,935;2,398;21,09;1235;585;5;VT03208;0,048;0,22;A+;35,94;57,51;3,7;;230/400V+N+PE - 3,3kW;AY7.002388;DualCompact_1_04_1_o;1096;1026;318;616;963;48,5;9,52;9,52;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;611;;;;;;;;no;no;L;E;Epoxy coated aluminum;7;80;8;yes;piece;1
GADC CX 035.2/4WL/HEE7A.TNPN;GADC CX;035.2/4WL/HEE7A.TNPN;n/a;finoox;203-1AQ0.2PX.1HU.RL2L-C26.01.0000.010;GADC CX 035.2-08_4-07-A0W-CL-E80AR-3125_Epoxy;9021;A;4;1;3125;Axial;13,919;11,321;84,37;6176;850;11;VT03208;0,247;0,3;A;48,19;70,53;14,1;;(2x) 400V 3~N+PE - 11,9kW;AY7.002391;DualCompact_4_08_1_o;3136;1026;318;;963;150,3;16;22,23;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;803;;;;;;;;no;no;L;E;Epoxy coated aluminum;7;20;8;yes;piece;1
GADC CX 035.1/41S/FEE4E.TNPN;GADC CX;035.1/41S/FEE4E.TNPN;n/a;finoox;203-1APF.2HJ.1HD.RL2J-C26.01.0800.010;GADC CX 035.1-06_4-04-EE41-CL-E80AR-2908_Epoxy;10032;E;4;1;2908;Axial;12,27;10,057;107;4653;695;9;VT03192U.1;0,124;0,25;A+;32,77;55,11;10,7;(2x) 400V 3~N+PE - 9,7kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;139,7;16;22,23;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002375;6;0;2968;2;150;2940;no;no;L;E;Epoxy coated aluminum;4;14;6;yes;piece;1
GADC CX 035.1/31M/FEE4E.TNPN;GADC CX;035.1/31M/FEE4E.TNPN;n/a;finoox;203-1AMB.2HG.1HD.RL2J-C26.01.0800.010;GADC CX 035.1-06_3-04-EE21-CL-E80AR-2906_Epoxy;8630;E;3;1;2906;Axial;14,269;11,523;80,25;6326;1310;14;VT03192U.1;0,33;0,98;B;45,2;67,3;8,2;400V 3~N+PE - 7,7kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;108,3;16;22,23;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002374;6;0;2288;2;150;2290;no;no;L;E;Epoxy coated aluminum;4;14;6;yes;piece;1
GADC CX 035.2/2XE/DEC4A.TNPN;GADC CX;035.2/2XE/DEC4A.TNPN;n/a;finoox;203-1AT8.2Q0.1JQ.00NN-C26.01.0000.010;GADC CX 035.2-04_2-04-A0X-CL-E80AR-3128_PC;5038;A;2;1;3128;Axial;4,16;3,324;35,67;2153;515;6;VT03208;0,1;0,23;B;38,68;60,52;3,6;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;318;1296;963;65,1;9,52;9,52;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;60;X;;;500;;;;;;;;no;no;L;E;Powder coated;4;40;4;yes;piece;1
GADC CX 035.2/1XE/FDA7E.TNNN;GADC CX;035.2/1XE/FDA7E.TNNN;n/a;finoox;203-1A7K.2Q0.1JM.00NN-C26.01.0800.000;GADC CX 035.2-06_1-07-E0X-CC-E80AR-3128_Alu;3079;E;1;1;3128;Axial;2,121;1,736;12,65;1025;515;4;VT03208;0,05;0,23;A;35,98;57,51;2,2;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;268;616;963;42,9;9,52;9,52;n/a;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;60;X;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;C;E;Aluminum;7;48;6;yes;piece;1
GADC CX 035.1/11E/FEE4A.TNNN;GADC CX;035.1/11E/FEE4A.TNNN;n/a;finoox;203-1AH2.2HK.1JR.00NN-C26.01.0000.000;GADC CX 035.1-06_1-04-AE51-CL-E80AR-2909_Epoxy;3148;A;1;1;2909;Axial;2,571;2,118;26,75;928;535;3;VT03192U.1;0,021;0,18;A+;22,66;44,23;2,8;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;318;616;963;43;9,52;9,52;Inclusive;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;545;;;;;;;;no;no;L;E;Epoxy coated aluminum;4;60;6;yes;piece;1
GADC CX 035.1/21N/DDA7A.TNNN;GADC CX;035.1/21N/DDA7A.TNNN;n/a;finoox;203-1A9L.2HF.1HB.RJTB-C26.01.0000.000;GADC CX 035.1-04_2-07-AE11-CC-E80AR-2905_Alu;4108;A;2;1;2905;Axial;5,68;4,584;16,87;5085;1475;15;VT03192U.1;0,326;1,35;D;48,27;70,07;2,9;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;268;1296;963;55,4;16;16;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;500;;;;;;;;no;no;C;E;Aluminum;7;16;4;yes;piece;1
