TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE CONDENSATE PUMP;HEATING;JUNCTION_BOX;CONDENSATE_PUMP;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GADC RX 035.1/11N/FEE7E.TNNN;GADC RX;035.1/11N/FEE7E.TNNN;n/a;finoox;203-1AH9.2HF.1HQ.RJW2-R23.01.0800.000;GADC RX 035.1-06_1-07-EE11-CL-E32AX-2905_Epoxy;3724;E;1;1;2905;Axial;4,003;2,983;4,089;3,433;4,506;3,535;4,249;3,524;4,058;3,343;3,954;3,042;15,82;2725;1475;10;VT03192U.1;0,163;1,35;C;46,24;67,81;3,6;230/400V+N+PE - 2,8kW;;;DualCompact_1_04_1_o;1096;1026;318;616;963;45,8;16;22;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002372;6;0;928;2;150;930;no;no;L;E;Epoxy coated aluminum;7;10;6;yes;piece;1
GADC RX 035.1/21N/FEE7A.TNPN;GADC RX;035.1/21N/FEE7A.TNPN;n/a;finoox;203-1AKC.2HF.1HS.RJWT-R23.01.0000.010;GADC RX 035.1-06_2-07-AE11-CL-E32AX-2905_Epoxy;4842;A;2;1;2905;Axial;7,906;6,092;8,213;6,964;8,911;7,176;8,527;7,115;8,147;6,821;7,931;6,286;31,64;5451;1475;14;VT03192U.1;0,326;1,35;C;48,98;70,82;6,8;;400V 3~N+PE - 5,1kW;AY7.002385;DualCompact_2_04_1_o;1776;1026;318;1296;963;66,8;22;35;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;564;;;;;;;;no;no;L;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GADC RX 035.1/41N/FDC7E.TNNN;GADC RX;035.1/41N/FDC7E.TNNN;n/a;finoox;203-1AWB.2HF.1H9.RJRV-R23.01.0800.000;GADC RX 035.1-06_4-07-EE11-CC-E32AX-2905_PC;8683;E;4;1;2905;Axial;11,907;8,035;13,163;10,111;13,825;10,104;13,348;10,128;12,848;9,607;11,693;8,016;50,62;9645;1475;20;VT03192U.1;0,649;1,35;C;50,63;72,93;9,9;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;110,8;22;28;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Powder coated;7;4;6;yes;piece;1
GADC RX 035.1/41N/HEC7E.TNNN;GADC RX;035.1/41N/HEC7E.TNNN;n/a;finoox;203-1AXF.2HF.1JK.SJ9Q-R23.01.0800.000;GADC RX 035.1-08_4-07-EE11-CL-E32AX-2905_PC;9852;E;4;1;2905;Axial;17,098;12,015;18,288;14,595;19,427;14,695;18,697;14,683;17,968;13,965;16,745;12,047;84,37;10486;1475;19;VT03192U.1;0,652;1,35;C;51;73,34;16,6;(2x) 400V 3~N+PE - 11,8kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;141,8;22;42;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002379;8;0;2968;2;150;2940;no;no;L;E;Powder coated;7;4;8;yes;piece;1
GADC RX 035.1/41N/DEC7E.TNNN;GADC RX;035.1/41N/DEC7E.TNNN;n/a;finoox;203-1AXB.2HF.1HN.SJ9U-R23.01.0800.000;GADC RX 035.1-04_4-07-EE11-CL-E32AX-2905_PC;8782;E;4;1;2905;Axial;11,409;8,641;11,625;9,873;12,868;10,233;12,153;10,147;11,6;9,635;11,39;8,906;42,18;11347;1475;21;VT03192U.1;0,651;1,35;D;52,17;74,52;8,8;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;114,9;22;42;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;L;E;Powder coated;7;2;4;yes;piece;1
GADC RX 035.1/21N/DEC4E.TNNN;GADC RX;035.1/21N/DEC4E.TNNN;n/a;finoox;203-1ASX.2HF.1HM.RJTT-R23.01.0800.000;GADC RX 035.1-04_2-04-EE11-CL-E32AX-2905_PC;5705;E;2;1;2905;Axial;6,732;4,855;6,659;5,586;7,674;6,098;7,025;5,947;6,583;5,489;6,485;5,001;35,67;5264;1475;14;VT03192U.1;0,326;1,35;D;48,53;70,37;4,5;230/400V+N+PE - 4,0kW;;;DualCompact_2_04_1_o;1776;1026;318;1296;963;65,8;22;28;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI16080550230;H01HC16100850230;;AY7.002369;4;0;1608;2;150;1610;no;no;L;E;Powder coated;4;4;4;yes;piece;1
GADC RX 035.1/31N/HEC4E.TNNN;GADC RX;035.1/31N/HEC4E.TNNN;n/a;finoox;203-1AUZ.2HF.1JK.SJ9U-R23.01.0800.000;GADC RX 035.1-08_3-04-EE11-CL-E32AX-2905_PC;8623;E;3;1;2905;Axial;13,884;10,101;13,987;11,599;15,335;12,073;14,356;11,937;13,662;11,219;13,395;10,172;107;6907;1475;15;VT03192U.1;0,485;1,35;C;49,78;71,87;12,7;(2x) 400V 3~N+PE - 9,3kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;111,8;22;42;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002378;8;0;2288;2;150;2290;no;no;L;E;Powder coated;4;4;8;yes;piece;1
GADC RX 035.1/11S/FEE4A.TNPN;GADC RX;035.1/11S/FEE4A.TNPN;n/a;finoox;203-1AGQ.2HJ.1HQ.RJPP-R23.01.0000.010;GADC RX 035.1-06_1-04-AE41-CL-E32AX-2908_Epoxy;3440;A;1;1;2908;Axial;2,777;2,153;2,897;2,417;3,025;2,426;2,919;2,412;2,791;2,31;2,763;2,177;26,75;1163;695;4;VT03192U.1;0,031;0,25;A+;27,52;49,09;3,5;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;318;616;963;41,4;16;22;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;545;;;;;;;;no;no;L;E;Epoxy coated aluminum;4;10;6;yes;piece;1
GADC RX 035.1/31S/HDC7A.TNPN;GADC RX;035.1/31S/HDC7A.TNPN;n/a;finoox;203-1AUE.2HJ.1H3.RJWV-R23.01.0000.010;GADC RX 035.1-08_3-07-AE41-CC-E32AX-2908_PC;7386;A;3;1;2908;Axial;6,836;5,36;7,141;5,997;7,503;6,058;7,24;6,027;6,956;5,806;6,821;5,446;50,62;3365;695;8;VT03192U.1;0,093;0,25;A+;31,1;53,16;10,1;;400V 3~N+PE - 7,7kW;AY7.002386;DualCompact_3_08_1_o;2456;1026;268;;963;87,9;22;35;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;633;;;;;;;;no;no;C;E;Powder coated;7;4;8;yes;piece;1
GADC RX 035.1/41S/HDC7A.TNNN;GADC RX;035.1/41S/HDC7A.TNNN;n/a;finoox;203-1AWC.2HJ.1H3.RJWV-R23.01.0000.000;GADC RX 035.1-08_4-07-AE41-CC-E32AX-2908_PC;8538;A;4;1;2908;Axial;9,102;6,905;9,407;7,914;10,052;7,949;9,579;7,943;9,206;7,595;9,075;6,97;67,49;4487;695;9;VT03192U.1;0,125;0,25;A+;32,11;54,41;13,2;;(2x) 400V 3~N+PE - 9,7kW;AY7.002387;DualCompact_4_08_1_o;3136;1026;268;;963;112,8;22;35;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;714;;;;;;;;no;no;C;E;Powder coated;7;4;8;yes;piece;1
GADC RX 035.1/41S/HEC7E.TNPN;GADC RX;035.1/41S/HEC7E.TNPN;n/a;finoox;203-1AXF.2HJ.1JK.SJ9U-R23.01.0800.010;GADC RX 035.1-08_4-07-EE41-CL-E32AX-2908_PC;10093;E;4;1;2908;Axial;10,409;7,998;10,81;9,101;11,424;9,1;10,953;9,088;10,468;8,742;10,396;8,091;84,37;4984;695;9;VT03192U.1;0,121;0,25;A+;34,32;56,66;16,5;(2x) 400V 3~N+PE - 11,8kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;142,3;22;42;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002379;8;0;2968;2;150;2940;no;no;L;E;Powder coated;7;4;8;yes;piece;1
GADC RX 035.1/41S/DEC4A.TNNN;GADC RX;035.1/41S/DEC4A.TNNN;n/a;finoox;203-1AWS.2HJ.1HM.RJPY-R23.01.0000.000;GADC RX 035.1-04_4-04-AE41-CL-E32AX-2908_PC;8116;A;4;1;2908;Axial;8,195;5,716;8,688;6,912;9,339;7,133;8,881;7,052;8,48;6,656;7,986;5,718;71,34;4927;695;9;VT03192U.1;0,122;0,25;A;34,05;56,39;8,4;;400V 3~N+PE - 7,5kW;AY7.002383;DualCompact_4_08_1_o;3136;1026;318;;963;104,7;22;28;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;593;;;;;;;;no;no;L;E;Powder coated;4;4;4;yes;piece;1
GADC RX 035.1/41M/FEA4A.TNPN;GADC RX;035.1/41M/FEA4A.TNPN;n/a;finoox;203-1AF4.2HG.1HS.RJTP-R23.01.0000.010;GADC RX 035.1-06_4-04-AE21-CL-E32AX-2906_Alu;7803;A;4;1;2906;Axial;15,702;10,646;17,123;13,298;18,319;13,653;17,562;13,603;16,785;12,78;15,345;10,614;107;8434;1310;16;VT03192U.1;0,44;0,98;B;46,21;68,55;12,6;;(2x) 400V 3~N+PE - 9,7kW;AY7.002387;DualCompact_4_08_1_o;3136;1026;318;;963;117,9;22;35;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;714;;;;;;;;no;no;L;E;Aluminum;4;4;6;yes;piece;1
GADC RX 035.1/11M/DDA4A.TNNN;GADC RX;035.1/11M/DDA4A.TNNN;n/a;finoox;203-1A7N.2HG.1HC.RJW0-R23.01.0000.000;GADC RX 035.1-04_1-04-AE21-CC-E32AX-2906_Alu;2822;A;1;1;2906;Axial;2,932;2,114;2,909;2,441;3,358;2,651;3,062;2,59;2,87;2,4;2,834;2,167;14,27;1995;1310;8;VT03192U.1;0,112;0,98;C;40,59;62,11;2;;230V 1~N+PE - 2,2kW;AY7.002380;DualCompact_1_04_1_o;1096;1026;268;616;963;34;16;22;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;411;;;;;;;;no;no;C;E;Aluminum;4;8;4;yes;piece;1
GADC RX 035.1/41M/DDA4E.TNPN;GADC RX;035.1/41M/DDA4E.TNPN;n/a;finoox;203-1AE1.2HG.1HF.RJWV-R23.01.0800.010;GADC RX 035.1-04_4-04-EE21-CC-E32AX-2906_Alu;7610;E;4;1;2906;Axial;11,777;8,553;11,662;9,814;13,426;10,68;12,28;10,426;11,512;9,66;11,391;8,811;57,07;7980;1310;17;VT03192U.1;0,446;0,98;C;45,84;68,14;7;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;103,5;22;35;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Aluminum;4;2;4;yes;piece;1
GADC RX 035.1/11M/DDA7E.TNNN;GADC RX;035.1/11M/DDA7E.TNNN;n/a;finoox;203-1A75.2HG.1HC.RJW0-R23.01.0800.000;GADC RX 035.1-04_1-07-EE21-CC-E32AX-2906_Alu;3229;E;1;1;2906;Axial;2,388;1,805;2,444;2,077;2,698;2,151;2,565;2,133;2,44;2,024;2,391;1,862;8,44;2179;1310;9;VT03192U.1;0,109;0,98;C;41,44;62,96;2;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;268;616;963;37,7;16;22;n/a;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;C;E;Aluminum;7;8;4;yes;piece;1
GADC RX 035.1/21M/FDA7E.TNPN;GADC RX;035.1/21M/FDA7E.TNPN;n/a;finoox;203-1A9B.2HG.1H8.RJW6-R23.01.0800.010;GADC RX 035.1-06_2-07-EE21-CC-E32AX-2906_Alu;4883;E;2;1;2906;Axial;6,315;4,595;6,482;5,351;7,065;5,496;6,613;5,463;6,418;5,19;6,142;4,656;25,31;4159;1310;12;VT03192U.1;0,221;0,98;B;43,6;65,4;5,2;230/400V+N+PE - 4,0kW;;;DualCompact_2_04_1_o;1776;1026;268;1296;963;63,3;16;28;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI16080550230;H01HC16100850230;;AY7.002369;4;0;1608;2;150;1610;no;no;C;E;Aluminum;7;6;6;yes;piece;1
GADC RX 035.1/41M/DEE4E.TNNN;GADC RX;035.1/41M/DEE4E.TNNN;n/a;finoox;203-1AP1.2HG.1HN.SJ9U-R23.01.0800.000;GADC RX 035.1-04_4-04-EE21-CL-E32AX-2906_Epoxy;7871;E;4;1;2906;Axial;13,543;9,937;13,512;11,427;15,488;12,257;14,157;12,081;13,281;11,198;13,279;10,206;71,34;8951;1310;17;VT03192U.1;0,432;0,98;C;47,07;69,41;8,8;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;115,6;22;42;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;L;E;Epoxy coated aluminum;4;2;4;yes;piece;1
GADC RX 035.1/41M/FEE7A.TNPN;GADC RX;035.1/41M/FEE7A.TNPN;n/a;finoox;203-1APL.2HG.1HS.RJTP-R23.01.0000.010;GADC RX 035.1-06_4-07-AE21-CL-E32AX-2906_Epoxy;7933;A;4;1;2906;Axial;13,907;9,738;14,881;11,873;15,967;12,063;15,332;12,039;14,7;11,421;13,613;9,775;63,27;9257;1310;17;VT03192U.1;0,428;0,98;B;47,72;70,06;12,6;;(2x) 400V 3~N+PE - 9,7kW;AY7.002387;DualCompact_4_08_1_o;3136;1026;318;;963;117;22;35;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;714;;;;;;;;no;no;L;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GADC RX 035.1/11M/HDE7A.TNNN;GADC RX;035.1/11M/HDE7A.TNNN;n/a;finoox;203-1AG8.2HG.1H6.RJW3-R23.01.0000.000;GADC RX 035.1-08_1-07-AE21-CC-E32AX-2906_Epoxy;3144;A;1;1;2906;Axial;3,585;2,721;3,686;3,131;4,026;3,194;3,815;3,18;3,644;3,037;3,579;2,78;16,87;1989;1310;8;VT03192U.1;0,112;0,98;B;40,58;62,1;3,7;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;268;616;963;38,8;16;22;Inclusive;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;545;;;;;;;;no;no;C;E;Epoxy coated aluminum;7;10;8;yes;piece;1
GADC RX 035.1/41M/HDC7A.TNNN;GADC RX;035.1/41M/HDC7A.TNNN;n/a;finoox;203-1AWC.2HG.1H3.RJWU-R23.01.0000.000;GADC RX 035.1-08_4-07-AE21-CC-E32AX-2906_PC;8538;A;4;1;2906;Axial;13,296;9,375;14,122;11,344;15,053;11,449;14,462;11,435;13,896;10,876;13,008;9,432;67,49;7956;1310;16;VT03192U.1;0,447;0,98;B;45,82;68,12;13,2;;(2x) 400V 3~N+PE - 9,7kW;AY7.002387;DualCompact_4_08_1_o;3136;1026;268;;963;112,5;22;35;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;714;;;;;;;;no;no;C;E;Powder coated;7;4;8;yes;piece;1
GADC RX 035.1/21L/FDA4A.TNPN;GADC RX;035.1/21L/FDA4A.TNPN;n/a;finoox;203-1A9U.2HH.1H8.RJW8-R23.01.0000.010;GADC RX 035.1-06_2-04-AE31-CC-E32AX-2907_Alu;4395;A;2;1;2907;Axial;5,858;4,284;5,909;4,913;6,482;5,089;6,039;5,046;5,751;4,741;5,674;4,312;42,8;2679;930;8;VT03192U.1;0,096;0,59;A;35,1;56,9;5,2;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;268;1296;963;58,2;16;28;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;500;;;;;;;;no;no;C;E;Aluminum;4;6;6;yes;piece;1
GADC RX 035.1/31L/HEA4E.TNNN;GADC RX;035.1/31L/HEA4E.TNNN;n/a;finoox;203-1AD3.2HH.1JK.SJ9U-R23.01.0800.000;GADC RX 035.1-08_3-04-EE31-CL-E32AX-2907_Alu;7532;E;3;1;2907;Axial;10,777;8,426;11,242;9,517;11,873;9,49;11,352;9,449;10,849;9,086;10,915;8,499;107;4254;930;9;VT03192U.1;0,144;0,59;A+;36,83;58,93;12,7;(2x) 400V 3~N+PE - 9,3kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;111,7;22;42;n/a;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002378;8;0;2288;2;150;2290;no;no;L;E;Aluminum;4;4;8;yes;piece;1
GADC RX 035.1/41L/FEE4E.TNPN;GADC RX;035.1/41L/FEE4E.TNPN;n/a;finoox;203-1AP3.2HH.1HS.RJTP-R23.01.0800.010;GADC RX 035.1-06_4-04-EE31-CL-E32AX-2907_Epoxy;8720;E;4;1;2907;Axial;12,893;9,12;13,455;10,869;14,264;11,135;13,692;11,069;13,118;10,426;12,533;9,144;107;5977;930;11;VT03192U.1;0,194;0,59;A;38,46;60,8;12,6;(2x) 400V 3~N+PE - 9,7kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;128,2;22;35;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002375;6;0;2968;2;150;2940;no;no;L;E;Epoxy coated aluminum;4;4;6;yes;piece;1
GADC RX 035.1/41L/DDC7E.TNNN;GADC RX;035.1/41L/DDC7E.TNNN;n/a;finoox;203-1AW9.2HH.1HE.RJP3-R23.01.0800.000;GADC RX 035.1-04_4-07-EE31-CC-E32AX-2907_PC;8308;E;4;1;2907;Axial;7,039;4,895;7,56;6,008;8,154;6,143;7,823;6,126;7,485;5,798;6,893;4,91;33,75;6195;930;13;VT03192U.1;0,194;0,59;A;39,09;61,39;6,7;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;101,3;16;28;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Powder coated;7;4;4;yes;piece;1
GADC RX 035.1/21L/DDC7E.TNPN;GADC RX;035.1/21L/DDC7E.TNPN;n/a;finoox;203-1ASD.2HH.1HC.RJP9-R23.01.0800.010;GADC RX 035.1-04_2-07-EE31-CC-E32AX-2907_PC;5727;E;2;1;2907;Axial;3,502;2,422;3,771;2,987;4,067;3,053;3,902;3,045;3,731;2,881;3,428;2,43;16,87;3098;930;9;VT03192U.1;0,097;0,59;A;36,58;58,38;3,5;230/400V+N+PE - 4,0kW;;;DualCompact_2_04_1_o;1776;1026;268;1296;963;58,3;16;22;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI16080550230;H01HC16100850230;;AY7.002369;4;0;1608;2;150;1610;no;no;C;E;Powder coated;7;8;4;yes;piece;1
GADC RX 035.1/41L/FDC7E.TNPN;GADC RX;035.1/41L/FDC7E.TNPN;n/a;finoox;203-1AWB.2HH.1H9.RJRV-R23.01.0800.010;GADC RX 035.1-06_4-07-EE31-CC-E32AX-2907_PC;8924;E;4;1;2907;Axial;9,304;6,652;9,746;7,929;10,519;8,102;10,041;8,075;9,623;7,661;9,081;6,691;50,62;5963;930;12;VT03192U.1;0,193;0,59;A;38,46;60,76;9,9;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;110,8;22;28;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Powder coated;7;4;6;yes;piece;1
GADC RX 035.1/11L/FEC7A.TNPN;GADC RX;035.1/11L/FEC7A.TNPN;n/a;finoox;203-1ARJ.2HH.1HQ.RJW5-R23.01.0000.010;GADC RX 035.1-06_1-07-AE31-CL-E32AX-2907_PC;4403;A;1;1;2907;Axial;2,686;2,077;2,801;2,356;3,007;2,42;2,882;2,4;2,749;2,302;2,679;2,123;15,82;1627;930;6;VT03192U.1;0,049;0,59;A;34,8;56,37;3,6;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;318;616;963;41,3;16;22;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;545;;;;;;;;no;no;L;E;Powder coated;7;10;6;yes;piece;1
GADC RX 035.1/41L/HEC7E.TNNN;GADC RX;035.1/41L/HEC7E.TNNN;n/a;finoox;203-1AXF.2HH.1JK.SJ9Q-R23.01.0800.000;GADC RX 035.1-08_4-07-EE31-CL-E32AX-2907_PC;9852;E;4;1;2907;Axial;12,413;9,277;12,844;10,718;13,777;10,834;13,107;10,834;12,59;10,313;12,261;9,362;84,37;6327;930;12;VT03192U.1;0,194;0,59;A+;39,46;61,8;16,6;(2x) 400V 3~N+PE - 11,8kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;141,8;22;42;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002379;8;0;2968;2;150;2940;no;no;L;E;Powder coated;7;4;8;yes;piece;1
GADC RX 035.1/31L/DEC4E.TNPN;GADC RX;035.1/31L/DEC4E.TNPN;n/a;finoox;203-1AUV.2HH.1HM.RJTT-R23.01.0800.010;GADC RX 035.1-04_3-04-EE31-CL-E32AX-2907_PC;7850;E;3;1;2907;Axial;7,418;5,326;7,525;6,184;8,283;6,549;7,805;6,432;7,399;6,02;7,15;5,377;53,5;4715;930;10;VT03192U.1;0,146;0,59;A;38,32;60,42;6,5;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;88,6;22;28;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;L;E;Powder coated;4;4;4;yes;piece;1
GADC RX 035.1/21L/FDC4E.TNPN;GADC RX;035.1/21L/FDC4E.TNPN;n/a;finoox;203-1AS3.2HH.1H8.RJW8-R23.01.0800.010;GADC RX 035.1-06_2-04-EE31-CC-E32AX-2907_PC;5921;E;2;1;2907;Axial;5,213;3,813;5,259;4,372;5,769;4,53;5,375;4,491;5,119;4,219;5,049;3,838;42,8;2679;930;8;VT03192U.1;0,096;0,59;A;35,1;56,9;5,2;230/400V+N+PE - 4,0kW;;;DualCompact_2_04_1_o;1776;1026;268;1296;963;63,8;16;28;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI16080550230;H01HC16100850230;;AY7.002369;4;0;1608;2;150;1610;no;no;C;E;Powder coated;4;6;6;yes;piece;1
GADC RX 035.1/31L/FEC4E.TNPN;GADC RX;035.1/31L/FEC4E.TNPN;n/a;finoox;203-1AUX.2HH.1HS.RJWT-R23.01.0800.010;GADC RX 035.1-06_3-04-EE31-CL-E32AX-2907_PC;8396;E;3;1;2907;Axial;9,03;6,706;9,14;7,675;10,01;7,867;9,337;7,809;8,881;7,383;8,868;6,779;80,25;4483;930;10;VT03192U.1;0,145;0,59;A;37,45;59,55;9,7;400V 3~N+PE - 7,7kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;100,3;22;35;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002374;6;0;2288;2;150;2290;no;no;L;E;Powder coated;4;4;6;yes;piece;1
GADC RX 035.2/4WE/HEA4E.TNPN;GADC RX;035.2/4WE/HEA4E.TNPN;n/a;finoox;203-1AF7.2PY.1JK.SJ9U-R23.01.0800.010;GADC RX 035.2-08_4-04-E0W-CL-E32AX-3126_Alu;8131;E;4;1;3126;Axial;11,747;8,965;12,119;10,195;12,689;10,062;12,133;10,063;11,638;9,665;11,695;9,006;142,67;4362;585;8;VT03208;0,192;0,22;A;41,19;63,53;16,5;(2x) 400V 3~N+PE - 11,8kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;149,4;22;42;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;50;W;H16GI29681100230;H01HC29401500230;;AY7.002379;8;0;2968;2;150;2940;no;no;L;E;Aluminum;4;4;8;yes;piece;1
