TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R454C SC2);DX Evap (R454C SC3);DX Evap (R455A SC2);DX Evap (R455A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC PX 050.1/21N/HNE7A.TNNN;GACC PX;050.1/21N/HNE7A.TNNN;n/a;finoox;247-1B76.243.3YB.SJ7B-P13.01.0000.000;GACC PX 050.1H/27-AN1_.E_Epoxy;6931;A;2;1;2451;Axial;22,642;17,346;24,202;19,025;80,62;13159;1260;21;VT03158U.1;0,959;2,2;;56,86;79,11;27;;;;gacc2a;2377;623;755;1000;486;114,5;22;42;Inclusive;n/a;Inclusive;404;No;No;Yes;500;EC motor;5060;1;;;;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;8;8;yes;piece;1
GACC PX 050.1/21N/HNE7E.TNNN;GACC PX;050.1/21N/HNE7E.TNNN;n/a;finoox;247-1B78.243.3YB.SJ7B-P13.01.0800.000;GACC PX 050.1H/27-EN1_.E_Epoxy;9660;E;2;1;2451;Axial;22,642;17,346;24,202;19,025;80,62;13159;1260;21;VT03158U.1;0,959;2,2;;56,86;79,11;27;2x400V 3Ph+N 50/60Hz - 8,4kW;;;gacc2a;2377;623;755;1000;486;125,6;22;42;Inclusive;n/a;Inclusive;404;No;Yes;Yes;500;EC motor;5060;1;H04BC22000517230;H01AC22000537230;;AY7.004829.1;13;100;2200;3;50;2200;no;no;H;F;Epoxy coated aluminum;7;8;8;yes;piece;1
GACC PX 050.1/41N/HNA7E.TNNN;GACC PX;050.1/41N/HNA7E.TNNN;n/a;finoox;247-1B98.243.3YJ.S5P0-P13.01.0800.000;GACC PX 050.1H/47-EN1_.E;16728;E;4;1;2451;Axial;45,73;35,066;48,866;38,419;161,24;26318;1260;23;VT03158U.1;1,918;2,2;;59,19;82,12;52,4;2x400V 3PH+N 50/60Hz - 15,7kW;;;gacc4a;4387;623;755;1000;486;228,8;28;54;n/a;n/a;Inclusive;808;No;Yes;Yes;500;EC motor;5060;1;H07EC42500970230;H08FD42601032230;;AY7.004835.1;13;150;4250;3;150;4260;no;no;H;F;Aluminum;7;4;8;yes;piece;1
GACC PX 050.1/21N/JNA7E.TANN;GACC PX;050.1/21N/JNA7E.TANN;n/a;finoox;247-1B7U.243.3YG.SJAE-P13.01.0800.100;GACC PX 050.1J/27-EN1_.E;10289;E;2;1;2451;Axial;25,735;20,81;28,071;23,27;100,77;12756;1260;21;VT03158U.1;0,977;2,2;;56,93;79,19;33,9;2x400V 3PH+N 50/60Hz - 9,9kW;;;gacc2a;2377;623;755;1000;486;143,5;22;54;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;500;EC motor;5060;1;H04BC22000517230;H01AC22000537230;;AY7.004830.1;16;100;2200;3;50;2200;no;no;J;F;Aluminum;7;6;10;yes;piece;1
GACC PX 050.1/21N/JNA7A.UANN;GACC PX;050.1/21N/JNA7A.UANN;n/a;finoox;247-1B7S.243.3YG.SJAE-P13.00.0000.100;GACC PX 050.1J/27-AN1_.E;6863;A;2;1;2451;Axial;25,735;20,81;28,071;23,27;100,77;12756;1260;21;VT03158U.1;0,977;2,2;;56,93;79,19;33,9;;;;gacc2a;2377;623;755;1000;486;130,6;22;54;n/a;n/a;222;Inclusive;Yes;No;No;500;EC motor;5060;1;;;;;;;;;;;no;no;J;F;Aluminum;7;6;10;yes;piece;1
GACC PX 050.1/31N/HNC7E.UANN;GACC PX;050.1/31N/HNC7E.UANN;n/a;finoox;247-1B8S.243.3YJ.S5P1-P13.00.0800.100;GACC PX 050.1H/37-EN1_.E_PC;14854;E;3;1;2451;Axial;31,933;25,552;34,726;28,466;125,36;19738;1260;22;VT03158U.1;1,439;2,2;;58,27;80,87;40;2x400V 3Ph+N 50/60Hz - 12,2kW;;;gacc3a;3377;623;755;1000;486;179,4;28;54;n/a;Inclusive;314;Inclusive;Yes;Yes;No;500;EC motor;5060;1;H04BC32000757230;H01AC32000777230;;AY7.004834.1;13;100;3200;3;50;3200;no;no;H;F;Powder coated;7;4;8;yes;piece;1
GACC PX 040.1/2WN/HJE4E.TANN;GACC PX;040.1/2WN/HJE4E.TANN;n/a;finoox;247-1BGF.1H0.3XZ.SJ61-P13.01.0800.100;GACC PX 040.1H/24-ENW_.E_Epoxy;5892;E;2;1;1734;Axial;12,083;9,807;13,15;11,074;65,43;5353;1310;11;VT0605;0,42;0,85;;54,23;76,05;13,2;400V 3Ph+N 50/60Hz - 4,4kW;;;gacc2;1686;560;565;1360;406;65,8;22;35;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BC15600363230;H01AB15600385230;;AY7.004827.1;9;100;1560;3;50;1560;no;no;H;F;Epoxy coated aluminum;4;8;8;yes;piece;1
GACC PX 040.1/2WN/HJE4E.TNNN;GACC PX;040.1/2WN/HJE4E.TNNN;n/a;finoox;247-1BGF.1H0.3XZ.SJ61-P13.01.0800.000;GACC PX 040.1H/24-ENW_.E_Epoxy;5548;E;2;1;1734;Axial;12,083;9,807;13,15;11,074;65,43;5353;1310;11;VT0605;0,42;0,85;;54,23;76,05;13,2;400V 3Ph+N 50/60Hz - 4,4kW;;;gacc2;1686;560;565;1360;406;65,8;22;35;Inclusive;n/a;Inclusive;344;No;Yes;Yes;400;AC motor;50;W;H04BC15600363230;H01AB15600385230;;AY7.004827.1;9;100;1560;3;50;1560;no;no;H;F;Epoxy coated aluminum;4;8;8;yes;piece;1
GACC PX 040.1/2WN/HJE7E.TANN;GACC PX;040.1/2WN/HJE7E.TANN;n/a;finoox;247-1BGH.1H0.3XZ.SJ5R-P13.01.0800.100;GACC PX 040.1H/27-ENW_.E_Epoxy;5038;E;2;1;1734;Axial;10,61;8,594;11,652;9,665;39,16;6125;1310;13;VT0605;0,41;0,85;;54,23;76,05;13,2;400V 3Ph+N 50/60Hz - 4,4kW;;;gacc2;1686;560;565;1360;406;65;22;35;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BC15600363230;H01AB15600385230;;AY7.004827.1;9;100;1560;3;50;1560;no;no;H;F;Epoxy coated aluminum;7;8;8;yes;piece;1
GACC PX 040.1/1WN/FJA7A.TANN;GACC PX;040.1/1WN/FJA7A.TANN;n/a;finoox;247-1BCA.1H0.3XU.S5NK-P13.01.0000.100;GACC PX 040.1F/17-ANW_.E;2162;A;1;1;1734;Axial;4,392;3,59;4,847;4,028;14,68;3215;1310;12;VT0605;0,201;0,85;;51,5;73,04;5,3;;;;gacc1;1006;560;565;680;406;30;16;28;n/a;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;;;;;;;;;no;no;F;F;Aluminum;7;12;6;yes;piece;1
GACC PX 040.1/4WN/FJA7E.TNNN;GACC PX;040.1/4WN/FJA7E.TNNN;n/a;finoox;247-1BK1.1H0.3XR.SJ7P-P13.01.0800.000;GACC PX 040.1F/47-ENW_.E;7745;E;4;1;1734;Axial;17,702;14,192;19,345;15,918;58,74;12859;1310;16;VT0605;0,806;0,85;;56,74;79,06;19,5;400V 3Ph+N 50/60Hz - 7,0kW;;;gacc4a;3046;560;565;680;406;102,8;22;42;n/a;n/a;Inclusive;688;No;Yes;Yes;400;AC motor;50;W;H04BC29200690230;H01AB29200709230;;AY7.004833.1;7;100;2920;3;50;2920;no;no;F;F;Aluminum;7;4;6;yes;piece;1
