TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC RX 031.1/21M/DDE7A.TNNN;GASC RX;031.1/21M/DDE7A.TNNN;n/a;finoox;251-1B24.24H.3UH.S5QS-R23.01.0000.000;GASC RX 031.1A/27-AL1_.E_Epoxy;2229;A;2;1;2465;Axial;2,316;1,773;2,397;2,043;2,656;2,125;2,513;2,103;2,39;2,011;2,328;1,835;8,44;1928;1000;11;VT03190;0,073;0,3;B;37,42;58,95;1,7;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;234;1360;552;21,5;16;18;Inclusive;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;203;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC RX 030.1/31N/DFE4E.;GASC RX;030.1/31N/DFE4E.;n/a;finoox;251-1J0J.345.3U9.S5QZ-R23.;GASC RX 030.1C/34-EN1_.E_Epoxy;3573;E;3;1;3609;Axial;6,778;4,657;7,202;5,69;7,891;6,064;7,592;5,985;7,194;5,586;6,567;4,687;32,1;4973;1760;19;VT06103;0,301;0,76;D;47,93;69,81;3,8;;;;GASC3;2324;580;337;2040;552;39,2;16;22;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;4;4;yes;piece;1
GASC RX 030.1/41N/FFE7E.;GASC RX;030.1/41N/FFE7E.;n/a;finoox;251-1J3J.345.3UB.SJ5F-R23.;GASC RX 030.1D/47-EN1_.E_Epoxy;4834;E;4;1;3609;Axial;9,808;6,7;10,768;8,36;11,386;8,404;10,972;8,41;10,559;7,977;9,64;6,691;37,96;6834;1760;23;VT06103;0,393;0,76;C;48,93;71,06;7,4;;;;GASC4;3004;580;337;1360;552;59,8;22;22;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GASC RX 030.1/31N/DFC7A.;GASC RX;030.1/31N/DFC7A.;n/a;finoox;251-1J11.345.3U9.S5QZ-R23.;GASC RX 030.1C/37-AN1_.E_PC;3396;A;3;1;3609;Axial;5,441;3,876;5,733;4,552;6,205;4,736;5,921;4,704;5,669;4,468;5,334;3,92;18,98;5319;1760;21;VT06103;0,289;0,76;D;47,93;69,81;3,8;;;;GASC3;2324;580;337;2040;552;35,4;16;22;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC RX 030.1/11N/DFC4A.;GASC RX;030.1/11N/DFC4A.;n/a;finoox;251-1HVX.345.3UC.S5QV-R23.;GASC RX 030.1C/14-AN1_.E_PC;1426;A;1;1;3609;Axial;2,024;1,37;2,176;1,698;2,421;1,8;2,293;1,781;2,17;1,662;1,961;1,373;10,7;1658;1760;11;VT06103;0,1;0,76;D;43,7;65,04;1,3;;;;GASC1;964;580;337;680;552;14,3;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;4;12;4;yes;piece;1
GASC RX 020.1/31N/FDA4E.TNNN;GASC RX;020.1/31N/FDA4E.TNNN;n/a;finoox;251-1CMZ.0YE.3W3.S5QQ-R23.01.0800.000;GASC RX 020.1B/34-EN1_.E;1871;E;3;1;1102;Axial;2,558;1,581;3,035;2,153;3,146;2,143;3,066;2,168;2,913;2,024;2,5;1,56;18,88;1428;2000;9;VT03033U;0,104;0,26;C;49,43;70,9;2,2;230V 1~ - 1.6kW;;;GASC3;1484;580;234;1200;552;23,3;16;18;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BB13901000230;H02LA14100560230;;AY7.004217.1;1;100;1390;1;75;1410;no;no;F;E;Aluminum;4;12;6;yes;piece;1
GASC RX 020.1/11N/DDC4A.;GASC RX;020.1/11N/DDC4A.;n/a;finoox;251-1AYU.0YE.3UF.00NN-R23.;GASC RX 020.1A/14-AN1_.E_PC;816;A;1;1;1102;Axial;0,752;0,531;0,75;0,618;0,835;0,669;0,786;0,654;0,74;0,606;0,718;0,539;4,2;512;2000;6;VT03033U;0,035;0,26;D;44,48;65,61;0,5;;;;GASC1;684;580;234;400;552;8;9,52;9,52;n/a;n/a;;;;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;4;16;4;yes;piece;1
GASC RX 020.1/11N/DDC4E.;GASC RX;020.1/11N/DDC4E.;n/a;finoox;251-1AYV.0YE.3UF.00NN-R23.;GASC RX 020.1A/14-EN1_.E_PC;937;E;1;1;1102;Axial;0,752;0,531;0,75;0,618;0,835;0,669;0,786;0,654;0,74;0,606;0,718;0,539;4,2;512;2000;6;VT03033U;0,035;0,26;D;44,48;65,61;0,5;;;;GASC1;684;580;234;400;552;9,3;9,52;9,52;n/a;n/a;;;;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;4;16;4;yes;piece;1
GASC RX 030.1/11M/DFA7E.;GASC RX;030.1/11M/DFA7E.;n/a;finoox;251-1HVE.0YG.3UC.S5QV-R23.;GASC RX 030.1C/17-EL1_.E;1252;E;1;1;1104;Axial;1,52;1,11;1,556;1,296;1,724;1,348;1,598;1,339;1,544;1,265;1,489;1,13;6,33;1101;1250;7;VT03034U;0,027;0,27;A;43,45;64,79;1,4;;;;GASC1;964;580;337;680;552;14,3;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;12;4;yes;piece;1
GASC RX 030.1/21M/DFC7A.;GASC RX;030.1/21M/DFC7A.;n/a;finoox;251-1HYX.0YG.3UD.S5QX-R23.;GASC RX 030.1C/27-AL1_.E_PC;2357;A;2;1;1104;Axial;2,839;2,092;2,899;2,421;3,213;2,521;2,978;2,503;2,877;2,366;2,783;2,128;12,65;2201;1250;11;VT03034U;0,055;0,27;A;46,18;67,8;2,5;;;;GASC2;1644;580;337;1360;552;21,1;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;6;4;yes;piece;1
GASC RX 020.1/11M/DDE4A.TNNN;GASC RX;020.1/11M/DDE4A.TNNN;n/a;finoox;251-1AYQ.0YF.3UF.00NN-R23.01.0000.000;GASC RX 020.1A/14-AL1_.E_Epoxy;738;A;1;1;1103;Axial;0,725;0,525;0,728;0,609;0,82;0,642;0,755;0,637;0,713;0,592;0,703;0,534;4,2;403;1500;4;VT03033U;0,02;0,16;B;40,68;61,81;0,5;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;8;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;16;4;yes;piece;1
GASC RX 020.1/11M/DDE7A.TNNN;GASC RX;020.1/11M/DDE7A.TNNN;n/a;finoox;251-1AYY.0YF.3UF.00NN-R23.01.0000.000;GASC RX 020.1A/17-AL1_.E_Epoxy;738;A;1;1;1103;Axial;0,587;0,443;0,606;0,516;0,673;0,535;0,635;0,53;0,603;0,498;0,587;0,457;2,48;440;1500;5;VT03033U;0,021;0,16;B;40,19;61,32;0,5;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;7,9;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;16;4;yes;piece;1
GASC RX 020.1/11M/DDC7A.;GASC RX;020.1/11M/DDC7A.;n/a;finoox;251-1AZ2.0YF.3UF.00NN-R23.;GASC RX 020.1A/17-AL1_.E_PC;802;A;1;1;1103;Axial;0,556;0,419;0,573;0,489;0,637;0,506;0,601;0,502;0,57;0,478;0,555;0,431;2,48;440;1500;5;VT03033U;0,021;0,16;B;40,19;61,32;0,5;;;;GASC1;684;580;234;400;552;7,9;9,52;9,52;n/a;n/a;;;;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC RX 031.1/3XN/FFA4E.TNNN;GASC RX;031.1/3XN/FFA4E.TNNN;n/a;finoox;251-1B4M.245.3UB.S5QU-R23.01.0800.000;GASC RX 031.1D/34-ENX_.E;2935;E;3;1;2453;Axial;8,742;6,255;9,082;7,376;10,067;7,832;9,454;7,69;8,969;7,196;8,497;6,297;48,15;4526;1390;18;VT03159U;0,409;0,55;D;47,4;69,28;5,6;400V 3~N - 4.05kW;;;GASC3;2324;580;337;2040;552;46,6;16;22;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001479.1;2;100;2230;1;75;2280;no;no;F;E;Aluminum;4;4;6;yes;piece;1
GASC RX 031.1/4XN/DFA4E.TNNN;GASC RX;031.1/4XN/DFA4E.TNNN;n/a;finoox;251-1B57.245.3UE.SJ3X-R23.01.0800.000;GASC RX 031.1C/44-ENX_.E;3592;E;4;1;2453;Axial;9,9;7,132;9,76;8,182;11,265;8,964;10,316;8,728;9,665;8,064;9,493;7,347;42,8;6607;1390;22;VT03159U;0,544;0,55;D;48,54;70,67;5,1;400V 3~N - 3.4kW;;;GASC4;3004;580;337;1360;552;52,1;22;28;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB29002300230;H02LA29601100230;;AY7.001480.1;1;100;2900;1;75;2960;no;no;D;E;Aluminum;4;2;4;yes;piece;1
GASC RX 031.1/1XN/FFE4A.TNNN;GASC RX;031.1/1XN/FFE4A.TNNN;n/a;finoox;251-1B1J.245.3UK.S5QR-R23.01.0000.000;GASC RX 031.1D/14-ANX_.E_Epoxy;1201;A;1;1;2453;Axial;2,865;2,013;2,957;2,391;3,248;2,537;3,077;2,491;2,916;2,327;2,745;2,024;16,05;1509;1390;10;VT03159U;0,136;0,55;D;43,17;64,51;2;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;16,4;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;171;;;;;;;;no;no;F;E;Epoxy coated aluminum;4;12;6;yes;piece;1
GASC RX 031.1/4XN/FFE4A.TNNN;GASC RX;031.1/4XN/FFE4A.TNNN;n/a;finoox;251-1B5S.245.3UB.SJ5E-R23.01.0000.000;GASC RX 031.1D/44-ANX_.E_Epoxy;3722;A;4;1;2453;Axial;10,736;7,143;11,958;9,102;12,772;9,318;12,308;9,325;11,668;8,729;10,498;7,09;64,2;6034;1390;20;VT03159U;0,546;0,55;D;48,4;70,53;7,4;;400V 3~N - 5.7kW;AY7.001481;GASC4;3004;580;337;1360;552;55,1;22;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;423;;;;;;;;no;no;F;E;Epoxy coated aluminum;4;4;6;yes;piece;1
GASC RX 031.1/1XN/DFC7E.;GASC RX;031.1/1XN/DFC7E.;n/a;finoox;251-1B17.245.3UC.S5QV-R23.;GASC RX 031.1C/17-ENX_.E_PC;1388;E;1;1;2453;Axial;1,821;1,279;1,934;1,522;2,087;1,578;1,993;1,569;1,911;1,489;1,784;1,291;6,33;1833;1390;12;VT03159U;0,135;0,55;D;43,8;65,14;1,4;;;;GASC1;964;580;337;680;552;16,3;16;18;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;7;12;4;yes;piece;1
GASC RX 031.1/3XN/DFC7E.;GASC RX;031.1/3XN/DFC7E.;n/a;finoox;251-1B4D.245.3U9.S5QZ-R23.;GASC RX 031.1C/37-ENX_.E_PC;3255;E;3;1;2453;Axial;5,517;3,921;5,828;4,613;6,293;4,792;6,009;4,761;5,757;4,523;5,409;3,962;18,98;5498;1390;21;VT03159U;0,406;0,55;D;48,03;69,91;3,8;;;;GASC3;2324;580;337;2040;552;39,5;16;22;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC RX 031.1/3XN/FFC4E.;GASC RX;031.1/3XN/FFC4E.;n/a;finoox;251-1B4V.245.3UB.S5QU-R23.;GASC RX 031.1D/34-ENX_.E_PC;3458;E;3;1;2453;Axial;7,781;5,567;8,083;6,565;8,96;6,971;8,414;6,844;7,983;6,404;7,562;5,604;48,15;4526;1390;18;VT03159U;0,409;0,55;D;47,4;69,28;5,6;;;;GASC3;2324;580;337;2040;552;46,6;16;22;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Powder coated;4;4;6;yes;piece;1
GASC RX 031.1/3WN/DFA7E.TNNN;GASC RX;031.1/3WN/DFA7E.TNNN;n/a;finoox;251-1B3T.246.3U9.S5QZ-R23.01.0800.000;GASC RX 031.1C/37-ENW_.E;2762;E;3;1;2454;Axial;5,783;4,127;6,083;4,842;6,596;5,044;6,291;5,009;6,022;4,757;5,671;4,179;18,98;5183;1300;20;VT03159U;0,3;0,42;C;46,64;68,52;3,8;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;39,5;16;22;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC RX 031.1/2WN/DFE4E.TNNN;GASC RX;031.1/2WN/DFE4E.TNNN;n/a;finoox;251-1B2M.246.3UD.S5QX-R23.01.0800.000;GASC RX 031.1C/24-ENW_.E_Epoxy;2250;E;2;1;2454;Axial;4,4;3,033;4,654;3,687;5,106;3,937;4,899;3,877;4,64;3,616;4,258;3,056;21,4;3131;1300;15;VT03159U;0,203;0,42;D;45,17;66,79;2,5;230V 1~ - 1.8kW;;;GASC2;1644;580;337;1360;552;27,9;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BA15351200230;H02LA15700600230;;AY7.001476.1;1;100;1535;1;75;1570;no;no;D;E;Epoxy coated aluminum;4;6;4;yes;piece;1
GASC RX 031.1/3WN/FFC7A.;GASC RX;031.1/3WN/FFC7A.;n/a;finoox;251-1B52.246.3UB.SJ5F-R23.;GASC RX 031.1D/37-ANW_.E_PC;3050;A;3;1;2454;Axial;7,215;5,249;7,429;6,114;8,075;6,271;7,566;6,232;7,351;5,925;7,02;5,315;28,47;4916;1300;19;VT03159U;0,303;0,42;C;46,61;68,49;5,7;;;;GASC3;2324;580;337;2040;552;41,7;22;22;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;F;E;Powder coated;7;4;6;yes;piece;1
GASC RX 031.1/4WN/DFC4E.;GASC RX;031.1/4WN/DFC4E.;n/a;finoox;251-1B5F.246.3UE.SJ3X-R23.;GASC RX 031.1C/44-ENW_.E_PC;4204;E;4;1;2454;Axial;8,562;6,195;8,46;7,107;9,748;7,761;8,924;7,567;8,363;6,985;8,248;6,38;42,8;6263;1300;21;VT03159U;0,406;0,42;D;47,67;69,8;5,1;;;;GASC4;3004;580;337;1360;552;52,1;22;28;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Powder coated;4;2;4;yes;piece;1
GASC RX 031.1/2WM/DFA7E.TNNN;GASC RX;031.1/2WM/DFA7E.TNNN;n/a;finoox;251-1B2D.247.3UD.S5QX-R23.01.0800.000;GASC RX 031.1C/27-ELW_.E;2045;E;2;1;2455;Axial;3,233;2,357;3,299;2,742;3,646;2,855;3,391;2,832;3,281;2,679;3,144;2,393;12,65;2416;900;12;VT03159U;0,176;0,38;D;41,05;62,67;2,5;230V 1~ - 1.8kW;;;GASC2;1644;580;337;1360;552;27,8;16;18;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BA15351200230;H02LA15700600230;;AY7.001476.1;1;100;1535;1;75;1570;no;no;D;E;Aluminum;7;6;4;yes;piece;1
GASC RX 031.1/1WM/FFA7E.TNNN;GASC RX;031.1/1WM/FFA7E.TNNN;n/a;finoox;251-1B1B.247.3UK.S5QW-R23.01.0800.000;GASC RX 031.1D/17-ELW_.E;1225;E;1;1;2455;Axial;2,045;1,527;2,102;1,768;2,309;1,817;2,176;1,811;2,075;1,718;2,029;1,554;9,49;1132;900;8;VT03159U;0,089;0,38;C;38,35;59,7;2;230V 1~ - 1.55kW;;;GASC1;964;580;337;680;552;18,6;16;18;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BA08550600230;H02LA08900350230;;AY7.001475.1;2;100;855;1;75;890;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC RX 031.1/3WM/DFE7A.TNNN;GASC RX;031.1/3WM/DFE7A.TNNN;n/a;finoox;251-1B48.247.3U9.S5QZ-R23.01.0000.000;GASC RX 031.1C/37-ALW_.E_Epoxy;2757;A;3;1;2455;Axial;4,778;3,499;4,868;4,055;5,383;4,229;5,005;4,194;4,841;3,966;4,651;3,55;18,98;3624;900;14;VT03159U;0,265;0,38;D;42,55;64,43;3,8;;230V 1~ - 2.45kW;AY7.001478;GASC3;2324;580;337;2040;552;36;16;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;302;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC RX 031.1/2WM/DFC4E.;GASC RX;031.1/2WM/DFC4E.;n/a;finoox;251-1B2R.247.3UD.S5QX-R23.;GASC RX 031.1C/24-ELW_.E_PC;2370;E;2;1;2455;Axial;3,332;2,366;3,41;2,777;3,754;2,957;3,55;2,899;3,363;2,71;3,209;2,383;21,4;2110;900;10;VT03159U;0,178;0,38;D;41,15;62,77;2,5;;;;GASC2;1644;580;337;1360;552;27,9;16;18;n/a;n/a;;;;315;AC motor;50;W;;;;;;;;;;;no;no;D;E;Powder coated;4;6;4;yes;piece;1
GASC RX 031.1/1XM/DDE7A.TNNN;GASC RX;031.1/1XM/DDE7A.TNNN;n/a;finoox;251-1B0C.248.3UG.S5QQ-R23.01.0000.000;GASC RX 031.1A/17-ALX_.E_Epoxy;1024;A;1;1;2456;Axial;0,941;0,725;0,99;0,83;1,075;0,868;1,03;0,86;0,98;0,822;0,94;0,753;4,22;693;720;6;VT03159U;0,09;0,39;E;35,82;57,07;0,9;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;234;680;552;13,2;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;137;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;8;4;yes;piece;1
GASC RX 031.1/2XM/DFE7A.TNNN;GASC RX;031.1/2XM/DFE7A.TNNN;n/a;finoox;251-1B2U.248.3UD.S5QX-R23.01.0000.000;GASC RX 031.1C/27-ALX_.E_Epoxy;2026;A;2;1;2456;Axial;2,73;2,042;2,799;2,358;3,088;2,435;2,869;2,425;2,768;2,296;2,708;2,084;12,65;1892;720;9;VT03159U;0,18;0,39;D;37,55;59,17;2,5;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;25,1;16;18;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;203;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;6;4;yes;piece;1
GASC RX 031.1/3XM/DFE7E.TNNN;GASC RX;031.1/3XM/DFE7E.TNNN;n/a;finoox;251-1B49.248.3U9.S5QZ-R23.01.0800.000;GASC RX 031.1C/37-ELX_.E_Epoxy;3090;E;3;1;2456;Axial;4,1;3,072;4,2;3,541;4,635;3,659;4,306;3,644;4,155;3,449;4,068;3,137;18,98;2838;720;11;VT03159U;0,27;0,39;D;39,05;60,93;3,8;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;39,5;16;22;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC RX 031.1/3XM/DFC7E.;GASC RX;031.1/3XM/DFC7E.;n/a;finoox;251-1B4D.248.3U9.S5QZ-R23.;GASC RX 031.1C/37-ELX_.E_PC;3255;E;3;1;2456;Axial;3,869;2,896;3,962;3,341;4,38;3,453;4,063;3,44;3,921;3,253;3,834;2,956;18,98;2838;720;11;VT03159U;0,27;0,39;D;39,05;60,93;3,8;;;;GASC3;2324;580;337;2040;552;39,5;16;22;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;7;4;4;yes;piece;1
GASC RX 031.1/2XM/DFC4A.;GASC RX;031.1/2XM/DFC4A.;n/a;finoox;251-1B2Q.248.3UD.S5QX-R23.;GASC RX 031.1C/24-ALX_.E_PC;2148;A;2;1;2456;Axial;2,941;2,123;2,956;2,433;3,251;2,566;3,052;2,53;2,894;2,369;2,835;2,14;21,4;1653;720;8;VT03159U;0,18;0,39;E;37,78;59,4;2,5;;;;GASC2;1644;580;337;1360;552;25,3;16;18;n/a;n/a;;;;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;4;6;4;yes;piece;1
GASC RX 031.1/31N/DFA4A.TNNN;GASC RX;031.1/31N/DFA4A.TNNN;n/a;finoox;251-1B3W.24G.3U9.S5QZ-R23.01.0000.000;GASC RX 031.1C/34-AN1_.E;2773;A;3;1;2464;Axial;6,741;4,649;7,154;5,662;7,849;6,026;7,534;5,948;7,139;5,556;6,531;4,673;32,1;4683;1350;18;VT03190;0,259;0,7;C;46,68;68,56;3,8;;230V 1~ - 2.45kW;AY7.001478;GASC3;2324;580;337;2040;552;34,5;16;22;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;302;;;;;;;;no;no;D;E;Aluminum;4;4;4;yes;piece;1
GASC RX 031.1/31N/FFA4E.TNNN;GASC RX;031.1/31N/FFA4E.TNNN;n/a;finoox;251-1B4M.24G.3UB.S5QU-R23.01.0800.000;GASC RX 031.1D/34-EN1_.E;3279;E;3;1;2464;Axial;8,541;6,095;8,761;7,144;9,608;7,572;9,094;7,434;8,63;6,957;8,203;6,137;48,15;4259;1350;17;VT03190;0,259;0,7;C;47,9;69,78;5,6;400V 3~N - 4.05kW;;;GASC3;2324;580;337;2040;552;44,8;16;22;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BB22301600230;H02LA22800850230;;AY7.001479.1;2;100;2230;1;75;2280;no;no;F;E;Aluminum;4;4;6;yes;piece;1
GASC RX 031.1/11N/DFA7E.TNNN;GASC RX;031.1/11N/DFA7E.TNNN;n/a;finoox;251-1B0M.24G.3UC.S5QV-R23.01.0800.000;GASC RX 031.1C/17-EN1_.E;1252;E;1;1;2464;Axial;1,923;1,359;2,036;1,609;2,204;1,672;2,103;1,662;2,012;1,577;1,886;1,37;6,33;1757;1350;12;VT03190;0,087;0,7;C;41,44;62,79;1,4;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;15,7;16;18;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Aluminum;7;12;4;yes;piece;1
GASC RX 031.1/11N/FFA7E.TNNN;GASC RX;031.1/11N/FFA7E.TNNN;n/a;finoox;251-1B1B.24G.3UK.S5QW-R23.01.0800.000;GASC RX 031.1D/17-EN1_.E;1339;E;1;1;2464;Axial;2,574;1,852;2,662;2,178;2,892;2,232;2,751;2,22;2,632;2,109;2,503;1,873;9,49;1647;1350;11;VT03190;0,087;0,7;B;41,89;63,23;2;230V 1~ - 1.55kW;;;GASC1;964;580;337;680;552;18;16;18;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001475.1;2;100;855;1;75;890;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC RX 031.1/41N/FFA7E.TNNN;GASC RX;031.1/41N/FFA7E.TNNN;n/a;finoox;251-1B5K.24G.3UB.SJ5F-R23.01.0800.000;GASC RX 031.1D/47-EN1_.E;4264;E;4;1;2464;Axial;9,764;6,684;10,716;8,329;11,32;8,365;10,909;8,371;10,502;7,943;9,602;6,682;37,96;6590;1350;22;VT03190;0,346;0,7;B;47,13;69,25;7,4;400V 3~N - 5.7kW;;;GASC4;3004;580;337;1360;552;58,2;22;22;n/a;n/a;Inclusive;Yes;Yes;315;EC motor;5060;1;H04BB29002300230;H02LA29601100230;;AY7.001481.1;2;100;2900;1;75;2960;no;no;F;E;Aluminum;7;4;6;yes;piece;1
GASC RX 031.1/21N/FFE7A.TNNN;GASC RX;031.1/21N/FFE7A.TNNN;n/a;finoox;251-1B3J.24G.3UA.S5QZ-R23.01.0000.000;GASC RX 031.1D/27-AN1_.E_Epoxy;2382;A;2;1;2464;Axial;5,11;3,705;5,248;4,323;5,724;4,445;5,355;4,416;5,199;4,194;4,964;3,754;18,98;3295;1350;16;VT03190;0,173;0,7;B;44,62;66,24;3,8;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;28;16;22;Inclusive;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;235;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;6;6;yes;piece;1
GASC RX 031.1/11N/FFC4A.;GASC RX;031.1/11N/FFC4A.;n/a;finoox;251-1B1N.24G.3UK.S5QR-R23.;GASC RX 031.1D/14-AN1_.E_PC;1418;A;1;1;2464;Axial;2,508;1,772;2,589;2,096;2,839;2,219;2,686;2,181;2,547;2,038;2,42;1,781;16,05;1420;1350;10;VT03190;0,086;0,7;C;43,67;65,01;2;;;;GASC1;964;580;337;680;552;15,8;16;18;n/a;n/a;;;;315;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Powder coated;4;12;6;yes;piece;1
