TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC RX 030.1/31N/FFA4E.;GASC RX;030.1/31N/FFA4E.;n/a;finoox;251-1J1E.345.3UB.S5QU-R23.;GASC RX 030.1D/34-EN1_.E;3409;E;3;1;3609;Axial;8,867;6,35;9,28;7,516;10,29;7,984;9,672;7,842;9,174;7,336;8,641;6,39;48,15;4692;1760;18;VT06103;0,316;0,76;C;47,93;69,81;5,6;;;;GASC3;2324;580;337;2040;552;46;16;22;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Aluminum;4;4;6;yes;piece;1
GASC RX 030.1/11N/FFA7E.;GASC RX;030.1/11N/FFA7E.;n/a;finoox;251-1HWG.345.3UK.S5QW-R23.;GASC RX 030.1D/17-EN1_.E;1393;E;1;1;3609;Axial;2,62;1,881;2,719;2,217;2,947;2,269;2,806;2,257;2,686;2,144;2,548;1,901;9,49;1708;1760;12;VT06103;0,098;0,76;B;43,7;65,04;2;;;;GASC1;964;580;337;680;552;18,4;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC RX 030.1/31N/DFA7E.;GASC RX;030.1/31N/DFA7E.;n/a;finoox;251-1J06.345.3U9.S5QZ-R23.;GASC RX 030.1C/37-EN1_.E;3231;E;3;1;3609;Axial;5,85;4,168;6,164;4,895;6,672;5,092;6,366;5,058;6,096;4,804;5,735;4,215;18,98;5319;1760;21;VT06103;0,289;0,76;C;47,93;69,81;3,8;;;;GASC3;2324;580;337;2040;552;38,9;16;22;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC RX 030.1/11N/FFE7E.;GASC RX;030.1/11N/FFE7E.;n/a;finoox;251-1HX6.345.3UK.S5QW-R23.;GASC RX 030.1D/17-EN1_.E_Epoxy;1564;E;1;1;3609;Axial;2,585;1,857;2,673;2,186;2,909;2,244;2,768;2,231;2,645;2,118;2,513;1,879;9,49;1708;1760;12;VT06103;0,098;0,76;C;43,7;65,04;2;;;;GASC1;964;580;337;680;552;18,4;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;12;6;yes;piece;1
GASC RX 030.1/21N/FFC4E.;GASC RX;030.1/21N/FFC4E.;n/a;finoox;251-1HZN.345.3UA.S2SD-R23.;GASC RX 030.1D/24-EN1_.E_PC;2902;E;2;1;3609;Axial;5,255;3,747;5,5;4,447;6,097;4,721;5,731;4,638;5,435;4,338;5,119;3,769;32,1;3128;1760;15;VT06103;0,211;0,76;D;46,43;68,05;3,8;;;;GASC2;1644;580;337;1360;552;32,4;16;22;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Powder coated;4;6;6;yes;piece;1
GASC RX 020.1/11N/DDA4E.TNNN;GASC RX;020.1/11N/DDA4E.TNNN;n/a;finoox;251-1AYM.0YE.3UF.00NN-R23.01.0800.000;GASC RX 020.1A/14-EN1_.E;729;E;1;1;1102;Axial;0,845;0,597;0,843;0,695;0,939;0,752;0,883;0,734;0,831;0,681;0,807;0,606;4,2;512;2000;6;VT03033U;0,035;0,26;D;44,48;65,61;0,5;230V 1~ - 0.59kW;;;GASC1;684;580;234;400;552;9,3;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA05750350230;H02LA06100240230;;AY7.001473.1;1;100;575;1;75;610;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 020.1/21N/FDA4E.TNNN;GASC RX;020.1/21N/FDA4E.TNNN;n/a;finoox;251-1CKV.0YE.3UJ.00NN-R23.01.0800.000;GASC RX 020.1B/24-EN1_.E;1315;E;2;1;1102;Axial;1,39;0,787;1,793;1,147;1,828;1,126;1,793;1,149;1,678;1,064;1,346;0,77;12,59;952;2000;7;VT03033U;0,069;0,26;D;47,83;69,13;1,5;230V 1~ - 1kW;;;GASC2;1084;580;234;800;552;16,7;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA09750600230;H02LA10000400230;;AY7.004216.1;1;100;975;1;75;1000;no;no;F;E;Aluminum;4;24;6;yes;piece;1
GASC RX 020.1/31N/DDE4E.TNNN;GASC RX;020.1/31N/DDE4E.TNNN;n/a;finoox;251-1CM3.0YE.3UF.00NN-R23.01.0800.000;GASC RX 020.1A/34-EN1_.E_Epoxy;1960;E;3;1;1102;Axial;1,531;0,839;2,042;1,254;2,083;1,231;2,046;1,258;1,9;1,16;1,477;0,82;12,59;1536;2000;10;VT03033U;0,105;0,26;D;48,91;70,38;1,4;230V 1~ - 1.6kW;;;GASC3;1484;580;234;1200;552;20,9;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BB13901000230;H02LA14100560230;;AY7.004217.1;1;100;1390;1;75;1410;no;no;D;E;Epoxy coated aluminum;4;16;4;yes;piece;1
GASC RX 030.1/21M/DFA7E.;GASC RX;030.1/21M/DFA7E.;n/a;finoox;251-1HY2.0YG.3UD.S5QX-R23.;GASC RX 030.1C/27-EL1_.E;2275;E;2;1;1104;Axial;3,053;2,249;3,117;2,603;3,455;2,711;3,202;2,692;3,094;2,544;2,992;2,288;12,65;2201;1250;11;VT03034U;0,055;0,27;A;46,18;67,8;2,5;;;;GASC2;1644;580;337;1360;552;23,8;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;6;4;yes;piece;1
GASC RX 030.1/11M/DDE4A.;GASC RX;030.1/11M/DDE4A.;n/a;finoox;251-1HUP.0YG.3UF.00NN-R23.;GASC RX 030.1A/14-AL1_.E_Epoxy;1135;A;1;1;1104;Axial;1,199;0,776;1,36;1,011;1,456;1,037;1,403;1,039;1,33;0,97;1,169;0,771;7,13;818;1250;7;VT03034U;0,034;0,27;B;42,63;63,88;0,8;;;;GASC1;964;580;234;680;552;11;9,52;9,52;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;16;4;yes;piece;1
